SENTENCES,EMOTION,SCORING
feel talented enough team win some games go deep tournament,joy,5.0
feel so innocent only one dream fill brain crazy,joy,5.0
never feel depressed cancer learnt live sleep each other,sadness,1.5
can feel pressure falling more so shoulders im feeling slightly doubtful leads unhappy thoughts not usually like optimistic self must say,fear,2.0
kind feel little petty,anger,1.0
hostage negotiator case feeling hopeful future,joy,5.0
believe people should choose causes feel passionate can no right desire push own charities more worthy than another,joy,5.0
feel privileged allowed sanctum studio many different paintings studies lining walls morph grow week week,joy,5.0
grew feeling rejected male peers,sadness,1.5
feel like where can make most valued input tried much possible ensure equal part construction,joy,5.0
described how feeling feeling control completely restless fear could still happen obsession trying all fact just not working,fear,2.0
feel very important fancy room fancy furniture nice view downtown dallas,joy,5.0
wanna feel good again,joy,5.0
never feel like im not supporting,joy,5.0
want snap simply feel simply live laugh enjoy life no matter how idiotic,sadness,1.5
assumed would feel casual,joy,5.0
will admit left feeling shaken bit goose,fear,2.0
feel dangerous especially new believer not grounded word god,fear,2.0
remember when rearranged furniture flat got stuck chair,anger,1.0
feeling stressed more than bit anxious,fear,2.0
persevered storm rejections feeling confident god called,joy,5.0
feeling comfortable first fight saw things working im expecting better rendall munroe think might underestimated first time around,joy,5.0
im not quite sure how really feels im pretty sure realizes going miss getting watch parade something really enjoys,sadness,1.5
feel somewhat fake group,sadness,1.5
feeling particularly pissed wanted go party,anger,1.0
feel like im still quite bad describing feelings good words beautiful phrases,sadness,1.5
feel so heartbroken paul walkers tragic disappearance life someone so generous beautiful talented should not end way other horrible individuals keep living torturing assaulting killing people,sadness,1.5
feel perfectly mellow,joy,5.0
feel give credit jen mitchell gorgeous card,joy,5.0
alternating feeling thrilled see dads family weekend terrified will black sheep among normalcy,fear,2.0
feel sweet boy,love,4.5
feel helpless superfluous when jenn elaine naturally,fear,2.0
thought didnt feel anything anymore ok well today different story feel want heart hurts thinking wont around still want around guess still valid,sadness,1.5
im feeling better so hopefully things start falling back old routine,joy,5.0
hope feel incredibly cool now,joy,5.0
watched news tv,neutral,2.5
didnt really go looking can definitely see where enjolrasmarius ship comes though sadly feel mostly onesided marius nothing more than rich schoolboy following whims without thoughts consequences,sadness,1.5
feel should gracious gesture apologize latest post osp rand license terms,love,4.5
get people asking feels like most hated man dallas county said assessor steve helm,sadness,1.5
reported feeling marginalized intimidated andor subjected threats retaliation,fear,2.0
im not sure im more peace situation im just not feeling bitter past five months something changed within,joy,5.0
feeling profoundly peaceful,joy,5.0
feel bad then not accepting,sadness,1.5
tried sorting area cat houses lunchtime guess printer ordeal feeling quite uptight so put hold,anger,1.0
made makes feel dumb dumber,sadness,1.5
power feeling justify laziness bitchy skinny girls,anger,1.0
feel like sweet company finally coming together,joy,5.0
im making some more mood icons right now let see how feel think course all charming,joy,5.0
feel like not accepted here bucking force coming all quarters tells something wrong not married children,sadness,1.5
apologize pictures not very good quality youre stuck ideas feel free check websites captions,joy,5.0
feel fine now even though ive just burned dinner oops,joy,5.0
feel divine landmass all respect bear heart greatness residing,love,4.5
feel like im not very fond word,neutral,2.5
feel vulnerable not knowing come feel like rest life depends today,fear,2.0
feel so damn agitated,anger,1.0
feel confident around always there needs help,joy,5.0
feel annoyingly isolated hostel all people talking outside room etc,sadness,1.5
feel like alcoholism something widely accepted norm gay culture,sadness,1.5
im just now realizing didnt diet coke today makes feel proud regardless other junk consumed today,joy,5.0
also feel accepted dark side finally realizing dark side healthy,joy,5.0
spoken feeling getting stronger curious others similar thoughts,surprise,3.5
feel bit dull all,sadness,1.5
hope understands way feel hope sees could miss putting petty negative thoughts aside,sadness,1.5
feel so blessed able share all,joy,5.0
feel little virtuous things other hand ninis tasted better,joy,5.0
say want more people person feel very mellow right now,joy,5.0
pull one favorite books make feel miserable,sadness,1.5
feel convinced im going shy away whatever really good,fear,2.0
feel kind awkward here goes,fear,2.0
feel like should not surprised development,surprise,3.5
full snuffling feeling dull,sadness,1.5
need feel creative productive,joy,5.0
god chosen help daughter become woman god intended even dont feel perfect,joy,5.0
not feeling too bad except ribs aching pulled muscle shoulder blade region all excruciating hours hacking lungs last night,sadness,1.5
point feeling resentful toward dont want,anger,1.0
write feel oddly calm like wanting just relax big chair lay sun,joy,5.0
feel really inspired,joy,5.0
know tell some people feel question sincere some sacred treasures,joy,5.0
can sit here cry feel wronged wont change outcome,sadness,1.5
worried maybe sleeping so well wasnt getting enough milk feeling lethargic,fear,2.0
going actively learn more genres andor practice so can feel should feel dancer fearless courageous confident phew,joy,5.0
started feeling little stressed leaving time making sure got gettingready pictures wanted everything seemed work perfectly,fear,2.0
feel like ugly monster where cannot show really lest seem weird just plainly outcast,sadness,1.5
feel little guilty exceptional little girl ethiopia home arms blog continues surround goosey,sadness,1.5
feel need layer fake tan night give bit colour clothes,sadness,1.5
feel real emotional connection ice queen north now revealed inhumanity runs bloody family,sadness,1.5
designing earrings some customers bridesmaids feel honoured,joy,5.0
could adopt messages could think help make feel more peaceful more grateful just happier right now,joy,5.0
feel quite worthless hear pretty normal north americans point,sadness,1.5
dont feel well enough cook,sadness,1.5
feel so bad hes stood there bewildered,sadness,1.5
could feel hundreds loving people all around world connecting earth simply beautiful,love,4.5
feel not generous spirit forgiving nature closes accepting gifts universe,sadness,1.5
feel accepted loved community derby girls helped create,joy,5.0
feel utterly disgusted right now contemplating death every waking moment ever since uttered few words,sadness,1.5
often feel confused whether bipolar just really hardcore sinful nature,fear,2.0
feeling very thankful,joy,5.0
feel privileged played,joy,5.0
read time place where feeling less than perfect,sadness,1.5
im happy feel all pressure one thing another makes unhappy,sadness,1.5
feel worthwhile give all more indepth citysized will look one cycle days,joy,5.0
still feeling so exhausted workouts monday tuesday all go walk park,sadness,1.5
grabbed dog hugged fiercely next hour so began feel bit like again havent completely shaken feeling feeling rather depressed anxious all day,fear,2.0
found feeling inhibited shushing quite lot,sadness,1.5
admit jetlagged so daylight feel groggy almost hung night when everyone tucked snoozing light pops brain transform everready bunny,sadness,1.5
often throw work when im not same maxim last week feel discouraged way move forwards offer encouragement others,sadness,1.5
feel lot better way wrote bit code,joy,5.0
supposed feel sympathy emma im afraid failed,sadness,1.5
feel inside life like game sometimes then came around walls just disappeared nothing surround keep fears im unprotected see how ive opened youve made trust cause ive never felt like im naked around show,love,4.5
no energy get angry upset anymore just feel little resigned,sadness,1.5
cant tell how many times four months seeing each other seriously serious emotional talks one both us feeling tender,love,4.5
feeling so emotional brothers arrival,joy,5.0
im even feeling liked girls hate pretty much everyone,joy,5.0
go day feeling movements amazed something so miraculous happening body like special secret only,joy,5.0
feel valuable want share,joy,5.0
feel so unloved without next when im,sadness,1.5
feel falling pit buying think hes real im just skeptical women,fear,2.0
learning just deal nausea manage unpleasantness work trying keep anyone knowing sister told there no need suffer feel miserable call dr some zofran,sadness,1.5
im feeling greedy right now,anger,1.0
justified feeling slighted just ungrateful,sadness,1.5
feel like waiting wings just patiently waiting distracted enough so can take take everything love world away destroy,fear,2.0
feel like fucked big time protect,fear,2.0
feel like mind blank empty,sadness,1.5
dont feel comfortable playing games presenting bad guy really misunderstood good guy vice versa,fear,2.0
listen advice eating disorder will actually feel better,fear,2.0
bought gb iphone got apple store credit feel like sympathetic early buyers responded appropriately,joy,5.0
im feeling lot more optimistic future,joy,5.0
feel pissed angry,anger,1.0
couldnt help feeling awful predicament lives daily nightly basis just so glad once bel started see light stuck stood daniel whilst no one else including family im afraid got really disgusted,sadness,1.5
im feeling so completely mellow perfect tonight,joy,5.0
feel curious would like explore top helterskelterlike plant,surprise,3.5
ive learned there angels earth feel feel stand loving thought healing heart steady hand just would also offer without moments hesitation return always,love,4.5
feel packaging really lovely product itself just everything ask,love,4.5
feel ive ignored too long year,sadness,1.5
know different feel hugs kisses im perfect just way,joy,5.0
feeling little more relaxed certainly not feeling refreshed thanks drunk dudes decided letting fireworks every half hour all night would super fun fact impossible sleep freezing cold complaining toddler certainly rebooted,anger,1.0
definitely feel theres some useful information here anyone facing similar questions time life,joy,5.0
too feel sense melancholy,sadness,1.5
im sad some people unhappy flag religious reasons know many religious people not feel goes faith very supportive,sadness,1.5
dont feel brave though,fear,2.0
walked near hotel felt very obvious uneasy all warnings petty crime read guidebook maybe some residual years ago left feeling threatened,fear,2.0
feel like im finally losing stubborn little bit extra stuff lower belly,joy,5.0
feeling overwhelmed trying all think women,fear,2.0
remember feeling so frightened could feel emotions high level,fear,2.0
feel inside cause im so fucking horny,love,4.5
tested positive never taken drugs feel innocent says martina,sadness,1.5
im so proud no words can describe way makes heart feel thank god supportive amazing hubbard,love,4.5
made sex feel women enjoy sex when body emotions admired respected,joy,5.0
feel no need work acceptable conversation fodder,joy,5.0
just hiked long steep hillside loaded grass bushes so feeling pretty doubtful id able find,fear,2.0
really like color scheme since makes feel peaceful clean simple,joy,5.0
feel so lame,sadness,1.5
personally feel very creative present everything packed inside brown paper bag,joy,5.0
feel so fearless postgrieving days,joy,5.0
feel so blessed married loves stepchildren,joy,5.0
dropped martin back dd pulled feeling exceptionally outgoing waved talked some neighbors downstairs,joy,5.0
feel more faithful than ever,joy,5.0
feeling relieved feel again,joy,5.0
sometimes feel bit unwelcome,sadness,1.5
feel complacent moment,joy,5.0
feel most passionate things arouse emotions seem things need learn something emotion tells there need grow some direction,joy,5.0
feel only makes person love happened something dont find acceptable,love,4.5
not only not lost any yarn overs now done first lace project feeling pretty pleased,joy,5.0
want know become prime minister less than years time will proud so friend israel jew most all someone feels so proud part community gathered here today,joy,5.0
feel somewhat safe give hosting try,joy,5.0
dont follow too many people dont too many followers however feeling people talking may know im not trying rude im just real,anger,1.0
never feel lonely long people love support work,joy,5.0
so much going life constantly running like crazy can always steal quiet moment acknowledge child overwhelming excitement anticipation feel god truly faithful brings everything around,joy,5.0
suspect reasoning may simply lull apple feeling complacent,anger,1.0
feel so exhausted,sadness,1.5
prepare feel thankful events touch upon so many different concerns poetry language issues pacific aesthetics avantgarde ecopoetry,joy,5.0
met present boyfriend boat trip england said would call each other when got back sweden not going same town england soon walked called england could not wait till came home,joy,5.0
feel inspired so many things want write,joy,5.0
im very hurt feel unimportant,sadness,1.5
feel like uninstalling skype deactivating all facebook hatena accounts since im becoming hateful person dont want get any worse than right now,anger,1.0
began feel shaky nauseous yearned connection cairns make some deprivation,fear,2.0
feeling adventurous though so went some asian flavors ginger sesame oil salad,joy,5.0
playing sport advanced pe class many people not advanced,anger,1.0
cause extreme worry distress ground remember fondly forever mary prepares feel unfortunate time eventually intense emotion sexual love condescend come hand puts strength wu mouth dont let oneself cry,sadness,1.5
feel so greedy holidays forgetting responsibilities,anger,1.0
mean feel like broken record sometimes,sadness,1.5
feeling rather heartless recently heard words unconditional love could not find,sadness,1.5
feel dissatisfied more accustomed healing,sadness,1.5
im feeling doubtful all patterns colors working together cant sure everything comes together,fear,2.0
want get back habit blogging all cool fun things im also trying get rut only writing feeling shitty,sadness,1.5
still healing heart broken still healing broken dreams still doubting still feeling confused,fear,2.0
ive feeling lousy last few weeks ended trip hospital last saturday put damper wedding anniversary,sadness,1.5
more read learn interviews more feel like could never deserve someone so kind compassionate,love,4.5
feel thats just strange wotcs behalf,surprise,3.5
take walk park feeling joyful,joy,5.0
feel calm silent protected definiteness existence,joy,5.0
want feel assured life will good know will when trust lord,joy,5.0
feel safe berry,joy,5.0
im feeling envious already,anger,1.0
suck boring dull town feeling missed family bf,sadness,1.5
feel like all cute things dont feel comfortable dont know how put together,sadness,1.5
feel like emotional cutter,sadness,1.5
wake morning when go sleep evening feel seed voice heart screaming empty stitched heart,sadness,1.5
received blanket absolutely amazed how fluffy extremely soft really didnt think going feel amazing,surprise,3.5
feel sometimes im not talented enough,sadness,1.5
feel would foolish perhaps little disrespectful consider long hilly race,fear,2.0
mention oldest child youngest will feelings hurt,fear,2.0
woke today feeling kind strange,fear,2.0
im sick feeling unimportant like nobody needs,sadness,1.5
feeling quite distressed dejected battle insomnia,fear,2.0
feel hated cempaka,sadness,1.5
feel numb only so many fucking feels ive shorted feeling,sadness,1.5
often use disney cheer when im feeling low past couple days no exception,sadness,1.5
ive feeling little defeated maybe even overlooked,sadness,1.5
feel shy wearing,fear,2.0
all can say long enjoy story entertains makes feel emotionalwhether sad happy angry disgusted just plain hornythen really gives damn,joy,5.0
wept jackson slept feeling overwhelmed feeling dont want die,fear,2.0
feel confident again personal life right when work life going well boss slowly understanding why continually ask demand address tough issues cause problems various departments,joy,5.0
dont know whether presence reason why feel more homesick uk than us just here makes miss former home,sadness,1.5
mentioned last blog started get feeling pressured studying things not like also made person might not fully,fear,2.0
only unwillingly always leaves feeling grouchy unsettled,anger,1.0
give men women complain lot heels wear least can wear dress feel cool summer,joy,5.0
feel like should listening chinesepod working mandarin really want listen savage love podcast car talk,anger,1.0
feel assured guns locked away gun safe making impossible any children access,joy,5.0
also feel conversation could dovetail quite easily another images objects ugly serve purpose ironic,sadness,1.5
dont want make blog something just whine all time feel like ive beaten twobyfour something,sadness,1.5
feel bad wasting time effort nothing,sadness,1.5
feel overwhelmed how,fear,2.0
kept trying make feel better,joy,5.0
get making employees feel valued really economy where another k jobs dumped last week alone suspect majority people thinking like rudy thank god still job,joy,5.0
feel lucky theyve chosen share lives,joy,5.0
feel embarrassed enough,sadness,1.5
im not feeling sorry though just think poor people lost lives everything due sandy,sadness,1.5
told some people class leader only chooses friends not true,anger,1.0
stop feeling guilty,joy,5.0
know some people more fond treat going getting pedicure can just sit there enjoy wonderful feeling someone else massaging tender tootsies all flipping pages book magazine,joy,5.0
first read book college helped cope feeling helplessness fear uncertain future,fear,2.0
get creative feel like just sit chat customers people all lovely even kermit helps see,joy,5.0
get feeling donald smart enough educate himself own densely focused meanderings inherent shortcomings,joy,5.0
feeling frantic,fear,2.0
feel extremely dangerous wandering sea,fear,2.0
so grateful filled general conference feel joyful power spirit such wonderful weekend,joy,5.0
think viewers tonight will enjoy show coming malm will like some things less fond other things hopefully will feel entertained smitten feel urge cast vote regardless country voting tonight not,joy,5.0
never want feel vulnerable,fear,2.0
bought doraemon backpack charity store every intention putting etsy store feel like too cute sell,joy,5.0
im looking upon next year adventure very likely will make curse mathematics other subjects hell eventually make feel relieved,joy,5.0
can put without words since just cant type so lovely morning yes im feeling sarcastic today,anger,1.0
feel kind unwelcome many catholic communities hope isnt case here,sadness,1.5
lift differently now hurt so bad day happened cant get mind feel bit timid,fear,2.0
feeling rather homesick today so decided make list typical city sights might come use should decide visit switzerlands largest city,sadness,1.5
im sure ill feel more playful soon just cant right now,sadness,1.5
couldnt feel more blessed time,joy,5.0
feel like rich purple gold match made heaven reinforces belief,joy,5.0
sit same hostel nearly two months ago time wearing jacket feeling toes might little numb cold,sadness,1.5
feel lost without,sadness,1.5
feel smart when figure things,joy,5.0
know im graduating two days feel so sad right now,sadness,1.5
feel very naughty step outside species compellingly different,love,4.5
want feel less stressed,sadness,1.5
still feel nervous,fear,2.0
put mind odd feeling vicious cruel natural order here seems no one able escape town cycles predator victim catching anyone trying elevate themselves mire,fear,2.0
feel more violent than ever right now,anger,1.0
feel ecstatic privileged,joy,5.0
feel will perfect event,joy,5.0
came away experience feeling like encounter divine,joy,5.0
feel slightly saddened know some kids also resigned absence,sadness,1.5
sit here snowy ohio countryside christmas eve feeling like im postcard im thrilled announce found,joy,5.0
im not feeling very hopeful coming summer,sadness,1.5
feel bit like naughty kid went spent last pence bag full e numbers guilty,sadness,1.5
tune rest world focus rhythm needles softness yarn time feel most peaceful,joy,5.0
say feel alone,sadness,1.5
feeling heartbroken lonely watched second younger sibling get married leaving lone single adult family,sadness,1.5
lost few pounds also started feel really awful,sadness,1.5
enjoy work genuine feel pleasant message trying deliver all,joy,5.0
knew except theyve lost girly feeling gained graceful wisdom,sadness,1.5
feeling bit ungrateful choose correct,sadness,1.5
notice how different question why feeling so agitated,surprise,3.5
feel like such noob when customers make really dull stupid jokes im supposed find funny,sadness,1.5
getting sent company expense trip another state work week plant,joy,5.0
feel insulted how heroes cosplay goons said dont care youre,anger,1.0
when eat good breakfast feel more energetic throughout whole day dont feel oclock slump,joy,5.0
feel very strongly supporting charities help children,joy,5.0
most ever seen life laceys constant disapprovements rikkis extreme happiness when just wasnt feeling quite carefree,sadness,1.5
started thinking spaces made feel most creative characteristics,joy,5.0
usually ignore page invites irrelevant facebook game invites impersonal feels insincere,anger,1.0
feeling playful morning,joy,5.0
feel like im pathetic little desperation,sadness,1.5
feel totally completely accepted loved heavenly abba pointing sin life,love,4.5
feel fond though feels like amalgamation many people already know,love,4.5
feel like most teams would appeased jackson point eagles terribly stubborn,anger,1.0
feel like damaged goods no one will want now,sadness,1.5
think love enough now feel pretty insulted rawr,anger,1.0
cant help feeling lucky little know,joy,5.0
also feel need say thank boy helped realize showing absolutely splendid hot night,joy,5.0
can never tell how feel really sucks think gets really bothered,sadness,1.5
ive also nosy website seeing coming time year im feeling strangely festive once ive picked top five products,joy,5.0
suppose only natural id start feel little homesick new england time year,sadness,1.5
really feel like successful identifying some pretty scary early warning signs sticking foot door shut,joy,5.0
cant help think id just shut id just not made big deal essentially two adults meeting same table hot beverage then perhaps wouldnt spent bulk weekend feeling like stupid shit,sadness,1.5
feeling really stressed due homework studies increased rapidly last week,sadness,1.5
im begging fate not mess next cycle let look pretty one so can least go feeling reassured,joy,5.0
input class size medium wp image height src http techfeel wp content uploads google hindi input x,neutral,2.5
ive got learn mindful how feel all time not just im suspicious feeling,fear,2.0
feeling much more relaxed,joy,5.0
feel acceptable make requests using name,joy,5.0
feeling there lot pissedoff people sea org hollywood where scientology become monster devoured wa wonderfully sleazy bohemian area,anger,1.0
feel pained,sadness,1.5
reading sewing circles feel completely happy cant spit face imperialism least lesbian,joy,5.0
feeling pretty fearless,joy,5.0
feel bouncy twitchy all sudden,joy,5.0
feel like more mellow restive dream maker,joy,5.0
not feel any passionate joy,sadness,1.5
nostalgic feelings met wonderful people online online internet like second life,joy,5.0
feel rejected trying find path stronger relationship bond god,sadness,1.5
dont know how deal feel like becoming part im afraid im going associate regular things so will never forget,fear,2.0
think fact know dont lot time play catchup also free time first time feels like forever really free time,joy,5.0
feel extremely privileged live country where vote legitimate matters,joy,5.0
feel strange gratitude hated israeli occupation sinai lasted actually recognizing importance sinais history,surprise,3.5
im much more peaceful happy when house clean food good kids arent feeling needy,joy,5.0
felt birthday one day feel special could whatever wanted,joy,5.0
feel depressed again,sadness,1.5
got saturday morning feeling like crud determined not let get best,joy,5.0
feel so determined steal private industries away citizens nation given no time fighting real enemies us,anger,1.0
would say no not yet would feel superior fact selfrighteous even would not admit back then remember looking point so can see point come could not face protect ego,joy,5.0
feel very tender anyone upset bee movie sort like how feel old aunts dont realize how prickly whiskers getting slightly repulsed very sad decline,sadness,1.5
sat embrace realized two hours spent shaking thang eighties bar celebrating fact one year closer death left ageing body feeling punished normally pink feet blackened,sadness,1.5
feel so humiliated own self,sadness,1.5
feel worthwhile item within companys mission,joy,5.0
feel earth move tribute carole king karaoke mix details rel nofollow target blank see more details compare prices img src http www,neutral,2.5
im only one all feelings emotions thats just pathetic so,sadness,1.5
cant say certain why actually makes feel amused can sure not just other people offices told same,joy,5.0
feel defeated okay hahaha midterm holiday good,sadness,1.5
decided lay bed then started feel really violent like wanted punch kick things except didnt want hurt anything,anger,1.0
want say feel numb numb wouldnt pain probably wouldnt able cry so much,sadness,1.5
go again sometime future id probably just stick african tram comes entry fee maybe id spring asian tram feeling particularly brave might even try hot air balloon thought reasonably priced,joy,5.0
always feel very shocked threatening,surprise,3.5
supposed alright not even feeling comfortable own home not able cook meals without yearold helping ok mounting pile water utility bills,sadness,1.5
not proud british not glad young most certainly not feel blessed opportunity,sadness,1.5
whenever put others shoes try make person happy,joy,5.0
feel absolutely devastated gaia pushed limit spite great strides seem making all media attention lately,sadness,1.5
more feel around someone more idiotic feel hence unintelligible blabbering,sadness,1.5
feeling content oh so happy life,joy,5.0
found feeling bit overwhelmed,fear,2.0
dont know how feel guess one moments where want feel like youre accepted even though whatever not get mattered most,sadness,1.5
wasnt sure gnawing feeling getting agitated sitting around nothing,anger,1.0
dont remember how january like last year thats why need real diary one feeling bitter dark boring,sadness,1.5
normally find intimidating shes crazy tiny little foreign food places people like so feel less socially intimidated when im,joy,5.0
feel quite researched intelligent confidence consuming meat,joy,5.0
ate something wrong so feel terrible all day,sadness,1.5
feel like place even more messy,sadness,1.5
feel unprotected even travelling alone,fear,2.0
believe feeling duality suffering soul growth tells ending decline change direction often one associated emotions offers one possible response decline change moving,sadness,1.5
feel really uptight unable unwind,fear,2.0
im learning mandarin chinese now preparation trip tianjin september already only four lessons feel like handle basics im thrilled some insight language always total mystery,joy,5.0
think feels little weird,fear,2.0
feel truth accepted not judged well,joy,5.0
feel like indecisive idiot,fear,2.0
just couldnt decide feel didnt tell then blamed never told would like,sadness,1.5
feel vets animals whose lives save always going hostile,anger,1.0
still feel more than anything else humiliated whenever think everything thats happened,sadness,1.5
feel like finally want write one vain hobbies makeup,joy,5.0
regularly feel embarrassed,sadness,1.5
then realized want shoot weddings clients connect feel comfortable must allow get know,joy,5.0
checked babys heartbeat continued feel moving so besides feeling terrible peace,sadness,1.5
found giggling clapping hands more often than fiveyearold ice cream wagon there never point where didnt feel genuinely entertained,joy,5.0
feel more virtuous just looking pictures books,joy,5.0
guess doesnt help got sick black friday forced will maintain promise stay back city feels amazing,joy,5.0
feel rather like celebrity widget stood let herself admired drank orange squash cup,joy,5.0
really feel like own space anymore really vain idea,sadness,1.5
can reasonably deduce grandfather also love mother doesnt negate lifetime damage feeling unloved unwanted created,sadness,1.5
im saying not read book characters hard empathise lot time found not feeling distraught when something happened rather uninterested blank,sadness,1.5
im spending less especially stuff wont last long not bringing tons stuff house feel more positive holiday gift giving,joy,5.0
feel embarrassed not lost weight again im afraid another week disappointing news scale will cause people give stop following blog,fear,2.0
feel little guilty not same contemplate going back get some money prisoners begin enter room,sadness,1.5
careened feeling confident abilities writer equally sure will never ever write anything worth reading,fear,2.0
feel very honoured asked,joy,5.0
feel pathetic can hardly go whole day not talking,sadness,1.5
faith supreme power accept everything all incidence occurring life sometimes like today really makes feel very very dull start crying,sadness,1.5
want feel just humiliated made feel school,anger,1.0
desperate kareena akshay kumar will play double role flash forward minissha says still feel today amisha patel glamorous avatar,joy,5.0
feel like just doomed,fear,2.0
always when well succeeded,joy,5.0
felt so bad bad grade feeling like hide didnt know say except declare all frustration hated school,sadness,1.5
feel assaulted shit storm confusion anger hurt feelings tsunamid us both away each other,fear,2.0
feel so fucking low,sadness,1.5
feel betrayed angry sad same time dammit,anger,1.0
feel reassured county government county takes murder illegal immigrant back alley seriously enough prosecute someone years later,joy,5.0
dont know how feel submissive learning how use firearm,fear,2.0
feel so drained end novel try very hardest get something will change impact life,sadness,1.5
truly surprised feel quite honored,joy,5.0
hate feeling alone too,sadness,1.5
feel like people accepted wed get along lot better,joy,5.0
feel creative juices beginning flow again,joy,5.0
feel suffocated paranoid,fear,2.0
would call success feeling pretty depressed state clothes,sadness,1.5
feel so lonely,sadness,1.5
see wednesday im feeling fantastic days can tell im getting smaller smaller,joy,5.0
feel though another adventure more curious than anything else,joy,5.0
also feel sidebar messy,sadness,1.5
feel respected secure where can journey toward loving loved return,joy,5.0
im feeling relieved yet painful something inside creepily numb feel like ghost hallways way used just dont tell only another time succumb,sadness,1.5
feel more amazed more thankful e lives,joy,5.0
must confess im still feeling very uncertain how god going work everything,fear,2.0
really bad feeling cold will few months,fear,2.0
ive feeling sort depressed,sadness,1.5
just feeling indecisive ever suppose,fear,2.0
felt abandoned seemed like millionth time life spent last several days feeling sorry when should picking order help friends,sadness,1.5
enjoy day more when feel cute,joy,5.0
bonded point time still feel fond memory,love,4.5
will remember come when feel beaten depressed faith only can truly healed,sadness,1.5
sometimes feel carried heart just loving child so fiercely,love,4.5
feel said quickly so glad,joy,5.0
understand reacting think theyre observing us closely become happier can actually feel theyre supporting us,joy,5.0
imagined formfitting clothing beautiful looking mirror feeling proud lighter more energetic,joy,5.0
starting feel like maybe want relationship im just too stubborn admit,sadness,1.5
feel appreciative money coming,joy,5.0
feel loyal especially all ive experienced recently can trust,love,4.5
feel pain own heart every priestess temple drops every single ven devoted talia loses devotions takes rank injury equal devotion,sadness,1.5
just feel so smug got exploited gets bruno marzzz,joy,5.0
ive so excited feel amazing,joy,5.0
feel kinda lousy,sadness,1.5
know same thing so many passersby feel special truly welcome country,joy,5.0
didnt start feeling excitement movie almost then started coming violent waves,anger,1.0
feel so blessed friends can come,joy,5.0
feeling very strange also present movement trying one way,fear,2.0
feel like thats acceptable,joy,5.0
feel like im boring sometimes im okay,sadness,1.5
felt need write sometimes anxious feelings impatient thoughts lists things still shouldcould done baby arrives,fear,2.0
feel like life so vain,sadness,1.5
dropped script left feeling dissatisfied,sadness,1.5
im starting feel really pathetic giving bulk enthusiasm days kardashians us weekly roseanne marathons completely ignoring blog,sadness,1.5
feel love se inscrie intrun rafinament lejer romantic si extrem de feminin,love,4.5
really wish more time explore twitter feel like lost lot time learning how use site,sadness,1.5
love yoga love learning love made when think sharing yoga students own feel so hopeful excited,joy,5.0
went training feeling very disheartened,sadness,1.5
feel so glad,joy,5.0
priceless feel so honoured every mum dad trusts new arrival,joy,5.0
felt really bad claudia always amazing time la could feel disappointed trip not turning fun amazing could,sadness,1.5
remember feeling nervous,fear,2.0
feel need pimp since raini beloved rocky casting director loves so much,joy,5.0
feel like life taken video game im doomed repeat same set circumstances again collect all special powers knowledge treasures finally advance next level,fear,2.0
feel like im one punished,sadness,1.5
kept feeling wonderful ran couldnt believe,joy,5.0
feel less stress pretty much any unpleasant obligation life know will allow mix things enjoy running baking climbing coffee girlfriends cuddling dog reading book,joy,5.0
lying bed last night day making experiments usual suspectsfabric plasticand feeling agitated issues proper presentation not made any headway course mere six hours,anger,1.0
working right now guys feel horny so much passion,love,4.5
feel like im greedy asking something so expensive,sadness,1.5
see feel friendly,joy,5.0
couldnt tell sick injured just feeling generally awful climbed team car abandoned race right there spectators snapping away phones,sadness,1.5
forced keep going back even though made feel consistently uncomfortable just gave saw no point,sadness,1.5
wonder im vain love dressing attempting fashionable then realized there nothing wrong dressing so feel pretty cute smart whatever,joy,5.0
feel so special when want mashed potatoes pronto get mashed potatoes pronto,joy,5.0
cant remember exactly made stop using feeling got distracted other hair products just sort forgot one,sadness,1.5
can feel some kind acceptance song why gave photo kind ecstatic ascension higher level conscience aesthetic like rapture sorts,joy,5.0
no matter im always feel alone,sadness,1.5
feeling hell kid there shooting daggers eyes annoyed hes standing there holding flowers,anger,1.0
dont know feel thrilled finally getting go camping again people like knowfirst time where thats happened,joy,5.0
feel talk like disadvantaged child waiting half face come back,sadness,1.5
cant help feel really nostalgic disney levels,joy,5.0
feel entirely more dangerous,fear,2.0
remember feeling thrilled use nursing skills relieved could few days house remember first hard then no problem,joy,5.0
found amazed how mids f would feel tad cool perhaps sweatshirt wouldve good idea,surprise,3.5
feel like may misled very gracious readers blog,sadness,1.5
still feel confused guilty whole thing,sadness,1.5
feel intimidated tasks feel overwhelmed huge complicated tasks,fear,2.0
feeling emotional crying no apparent reason time feels like world ending,sadness,1.5
feel lonely sad when cannot talk day get moment desk,sadness,1.5
still sit back feel amazed whole thing,joy,5.0
feel rejected cant find ive left behind,sadness,1.5
feel like cant dirty dishes piled laundry strewn toys scattered everywhere,sadness,1.5
feel more so lately than ever life so precious,joy,5.0
feel completely burdened own intelligence,sadness,1.5
cant think any emotional state worse than feeling generally worthless unlovable,sadness,1.5
dont any photos too excited happy prejudging great btw least feel since felt confident didnt stutter front panel judges dearest bf around doors opened public,joy,5.0
im feeling jolly,joy,5.0
feel fake think really want good conversation make good contact appear especially selfconfident even risk talking some people no good talk all meet one person good connection,sadness,1.5
